9,148
10,85
14,14
20,191
22,122
31,196
37,53
40,25
41,104
43,105
51,200
53,130
60,205
62,130
64,74
65,37
68,176
69,168
71,184
72,176
78,170
79,24
81,82
82,204
88,23
89,126
91,119
93,207
95,146
96,168
100,18
102,27
104,72
106,211
109,14
110,162
111,97
116,198
117,107
121,152
124,129
125,211
126,77
130,106
132,150
133,73
138,86
145,177
148,70
151,183
152,19
155,195
166,49
173,130
177,59
178,91
179,158
189,77
202,38
203,17
204,48
205,185
208,17
209,21
212,162
220,74
222,114
225,197
228,53
229,123
230,30
239,85
240,96
244,173
245,205
247,97
252,49
261,105
266,183
268,209
272,124
274,8
281,144
282,177
284,111
285,62
290,85
291,60
296,134
299,55
300,96
301,80
305,167
306,179
307,4
312,24
314,170
315,89
316,143
321,102
322,190
323,14
324,156
331,25
332,60
333,64
336,7
338,39
341,151
342,36
347,157
348,128
350,12
354,47
355,209
357,152
359,119
362,181
369,92
377,135
381,15
382,141
385,50
392,57
397,10
399,100
402,79
403,178
405,70
408,6
411,19
413,209
415,210
422,185
423,199
424,69
427,126
428,205
437,179
440,183
441,11
442,2
452,20
454,131
459,203
460,72
462,78
466,136
470,117
471,134
476,58
478,105
482,203
485,181
488,143
489,102
492,120
497,159
502,101
504,179
505,3
506,166
508,9
509,5
511,46
512,189
514,80
516,194
524,157
526,105
527,165
528,170
529,36
530,33
532,35
533,173
534,161
537,139
544,113
545,67
552,82
556,58
560,155
561,27
563,202
566,205
574,113
577,199
579,33
580,171
585,209
586,135
591,5
593,173
594,155
595,55
600,187
603,77
606,137
609,168
611,209
614,69
618,201
619,69
621,170
624,157
625,52
627,88
628,179
629,5
632,48
635,19
638,191
645,167
646,11
655,36
663,161
667,119
670,179
672,178
676,107
678,20
680,109
681,62
682,78
686,65
688,18
689,156
690,151
691,161
698,30
703,157
704,172
705,156
707,192
708,49
720,140
722,88
724,36
731,20
732,87
735,21
742,106
745,88
749,209
750,124
753,110
754,10
758,34
759,65
762,81
769,34
774,58
777,18
784,182
785,83
788,190
789,36
797,73
799,64
806,172
809,138
810,39
811,94
813,41
814,30
815,172
818,131
821,130
824,187
826,179
828,34
829,152
831,93
832,163
833,43
838,197
839,31
841,57
851,144
857,130
858,154
861,135
866,118
870,137
873,50
876,12
878,188
883,100
888,95
889,174
893,166
896,104
898,19
901,133
902,141
906,118
910,91
915,195
919,41
922,93
924,44
931,171
933,189
937,89
938,28
942,114
943,45
950,105
953,161
954,167
955,164
956,138
958,25
964,47
965,178
967,82
971,128
974,62
977,152
981,17
984,108
985,14
989,11
990,170
991,22
996,84
998,101
1001,211
1004,180
1005,194
1006,38
1010,27
1018,169
1019,144
1023,116
1026,107
1027,33
1028,166
1030,83
1031,174
1032,83
1044,202
1048,74
1049,187
1052,83
1060,75
1063,192
1065,56
1066,23
1069,183
1071,27
1073,175
1075,99
1076,3
1081,89
1082,171
1084,92
1087,155
1088,12
1090,135
1091,108
1095,205
1099,152
1100,113
1102,153
1103,99
1107,137
1109,142
1111,9
1114,135
1115,26
1117,170
1119,4
1120,167
1121,3
1123,64
1125,3
1127,144
1128,167
1129,137
1131,205
1132,36
1134,47
1137,23
1138,106
1140,194
1142,64
1149,32
1151,28
1155,147
1157,207
1158,63
1159,144
1161,181
1164,115
1165,47
1190,150
1191,100
1192,108
1193,189
1195,193
1202,127
1206,33
1211,83
1212,163
1217,5
1227,24
1228,173
1234,120
1235,138
1237,74
1241,154
1243,156
1246,117
1252,49
1253,100
1255,210
1261,63
1263,31
1272,121
1276,151
1277,29
1278,209
1285,58
1288,13
1293,177
1294,72
1295,193
1297,75
1298,198
1300,92
1301,28
1302,59
1303,91
1306,84
1308,161
1312,168
1316,20
1318,33
1319,96
1322,60
1323,183
1327,8
1329,140
1330,7
1332,66
1333,126
1335,159
1336,15
1343,52
1345,92
1347,207
1350,138
1351,156
1359,108
1361,100
1366,36
1369,189
1370,50
1371,78
1372,183
1374,186
1377,135
1381,20
1386,74
1387,100
1394,27
1395,67
1397,176
1398,191
1403,21
1404,81
1405,203
1407,87
1411,141
1412,18
1415,165
1421,20
1422,77
1423,66
1431,70
1432,100
1433,133
1435,175
1437,187
1441,11
1442,78
1447,131
1449,176
1450,17
1452,58
1455,141
1463,118
1468,79
1470,63
1485,151
1486,36
1492,37
1494,98
1496,114
1497,192
1501,4
1506,115
1508,82
1512,189
1516,79
1517,167
1519,36
1521,110
1522,85
1523,165
1528,129
1529,146
1536,179
1538,17
1540,28
1541,2
1542,32
1546,96
1548,198
1552,58
1554,40
1555,75
1556,170
1559,136
1560,42
1561,116
1569,28
1570,195
1580,163
1582,141
1585,90
1587,43
1590,25
1591,195
1593,180
1595,132
1597,101
1598,62
1600,135
1604,133
1605,147
1606,103
1612,146
1614,141
1615,147
1623,155
1624,10
